,a2i,vowels,binary
484,structure,3,0000000111001111101001110010111010111000111110100111010111100101100101
485,mcclure,2,0000000000000000000001101101110001111000111101100111010111100101100101
486,june,2,0000000000000000000000000000000000000000001101010111010111011101100101
487,lsi,1,0000000000000000000000000000000000000000000000000110110011100111101001
488,convenient,4,1100011110111111011101110110110010111011101101001110010111011101110100
489,vol,1,0000000000000000000000000000000000000000000000000111011011011111101100
490,guide,3,0000000000000000000000000000000000011001111110101110100111001001100101
491,sgi,1,0000000000000000000000000000000000000000000000000111001111001111101001
492,cerebellum,4,1100011110010111100101100101110001011001011101100110110011101011101101
493,partially,3,0000000111000011000011110010111010011010011100001110110011011001111001
494,bit,1,0000000000000000000000000000000000000000000000000110001011010011110100
495,category,3,0000000000000011000111100001111010011001011100111110111111100101111001
496,keyword,2,0000000000000000000001101011110010111110011110111110111111100101100100
497,hessian,3,0000000000000000000001101000110010111100111110011110100111000011101110
498,sampled,2,0000000000000000000001110011110000111011011110000110110011001011100100
499,cii,2,0000000000000000000000000000000000000000000000000110001111010011101001
501,friesen,3,0000000000000000000001100110111001011010011100101111001111001011101110
502,coping,2,0000000000000000000000000000110001111011111110000110100111011101100111
503,minimises,4,0000000110110111010011101110110100111011011101001111001111001011110011
504,gap,1,0000000000000000000000000000000000000000000000000110011111000011110000
505,mfinchen,2,0000000000000011011011100110110100111011101100011110100011001011101110
506,geometries,5,1100111110010111011111101101110010111101001110010110100111001011110011
507,eighth,2,0000000000000000000000000000110010111010011100111110100011101001101000
510,backgammon,3,1100010110000111000111101011110011111000011101101110110111011111101110
512,calculus,3,0000000000000011000111100001110110011000111110101110110011101011110011
513,determines,4,1100100110010111101001100101111001011011011101001110111011001011110011
514,bregman,2,0000000000000000000001100010111001011001011100111110110111000011101110
515,neurology,4,0000000110111011001011110101111001011011111101100110111111001111111001
516,minutemax,4,0000000110110111010011101110111010111101001100101110110111000011111000
517,francis,2,0000000000000000000001100110111001011000011101110110001111010011110011
518,earliest,4,0000000000000011001011100001111001011011001101001110010111100111110100
520,critically,3,1100011111001011010011110100110100111000111100001110110011011001111001
521,portion,3,0000000000000000000001110000110111111100101110100110100111011111101110
522,recalling,3,0000000111001011001011100011110000111011001101100110100111011101100111
523,wished,2,0000000000000000000000000000111011111010011110011110100011001011100100
525,revision,4,0000000000000011100101100101111011011010011110011110100111011111101110
527,occasion,4,0000000000000011011111100011110001111000011110011110100111011111101110
528,biehl,2,0000000000000000000000000000000000011000101101001110010111010001101100
529,comm,1,0000000000000000000000000000000000000000001100011110111111011011101101
530,recog,2,0000000000000000000000000000000000011100101100101110001111011111100111
531,candidate,4,0000000110001111000011101110110010011010011100100110000111101001100101
532,informally,3,1101001110111011001101101111111001011011011100001110110011011001111001
533,volatile,4,0000000000000011101101101111110110011000011110100110100111011001100101
535,convincing,3,1100011110111111011101110110110100111011101100011110100111011101100111
536,ultra,2,0000000000000000000000000000000000011101011101100111010011100101100001
538,batch,1,0000000000000000000000000000000000011000101100001111010011000111101000
539,century,2,0000000000000000000001100011110010111011101110100111010111100101111001
540,gestalt,2,0000000000000000000001100111110010111100111110100110000111011001110100
542,lastly,1,0000000000000000000000000000110110011000011110011111010011011001111001
544,side,2,0000000000000000000000000000000000000000001110011110100111001001100101
545,primitive,4,0000000111000011100101101001110110111010011110100110100111101101100101
546,rvnl,0,0000000000000000000000000000000000000000001110010111011011011101101100
547,transducer,3,1110100111001011000011101110111001111001001110101110001111001011110010
548,closes,2,0000000000000000000000000000110001111011001101111111001111001011110011
549,abilistic,4,0000000110000111000101101001110110011010011110011111010011010011100011
551,vague,3,0000000000000000000000000000000000011101101100001110011111101011100101
552,gustavo,3,0000000000000000000001100111111010111100111110100110000111101101101111
553,circuit,3,0000000000000000000001100011110100111100101100011111010111010011110100
554,localizer,4,0000000110110011011111100011110000111011001101001111101011001011110010
555,barry,1,0000000000000000000000000000000000011000101100001111001011100101111001
556,rollout,3,0000000000000000000001110010110111111011001101100110111111101011110100
558,tom,1,0000000000000000000000000000000000000000000000000111010011011111101101
559,mit,1,0000000000000000000000000000000000000000000000000110110111010011110100
560,asymptotes,3,1100001111001111110011101101111000011101001101111111010011001011110011
561,narx,1,0000000000000000000000000000000000000000001101110110000111100101111000
562,ventral,2,0000000000000000000001110110110010111011101110100111001011000011101100
563,davies,3,0000000000000000000000000000110010011000011110110110100111001011110011
564,bandit,2,0000000000000000000000000000110001011000011101110110010011010011110100
565,neff,1,0000000000000000000000000000000000000000001101110110010111001101100110
566,fitzhugh,2,0000000000000011001101101001111010011110101101000111010111001111101000
567,polar,2,0000000000000000000000000000000000011100001101111110110011000011110010
568,repeatable,5,1110010110010111100001100101110000111101001100001110001011011001100101
570,extensive,4,0000000110010111110001110100110010111011101110011110100111101101100101
571,shamma,2,0000000000000000000000000000111001111010001100001110110111011011100001
572,version,3,0000000000000000000001110110110010111100101110011110100111011111101110
573,rayner,2,0000000000000000000000000000111001011000011111001110111011001011110010
574,pre,1,0000000000000000000000000000000000000000000000000111000011100101100101
575,amit,2,0000000000000000000000000000000000000000001100001110110111010011110100
577,abbott,2,0000000000000000000000000000110000111000101100010110111111101001110100
579,jim,1,0000000000000000000000000000000000000000000000000110101011010011101101
580,almaden,3,0000000000000000000001100001110110011011011100001110010011001011101110
582,varying,2,0000000000000000000001110110110000111100101111001110100111011101100111
583,pairing,3,0000000000000000000001110000110000111010011110010110100111011101100111
585,planned,2,0000000000000000000001110000110110011000011101110110111011001011100100
586,baltimore,4,0000000110001011000011101100111010011010011101101110111111100101100101
587,mlz,0,0000000000000000000000000000000000000000000000000110110111011001111010
588,inherent,3,0000000000000011010011101110110100011001011110010110010111011101110100
590,objectives,4,1101111110001011010101100101110001111101001101001111011011001011110011
591,traversed,3,0000000111010011100101100001111011011001011110010111001111001011100100
592,buhmann,2,0000000000000000000001100010111010111010001101101110000111011101101110
593,barrow,2,0000000000000000000000000000110001011000011110010111001011011111110111
595,extinction,4,1100101111100011101001101001110111011000111110100110100111011111101110
596,graepel,3,0000000000000000000001100111111001011000011100101111000011001011101100
597,influences,4,1101001110111011001101101100111010111001011101110110001111001011110011
598,gal,1,0000000000000000000000000000000000000000000000000110011111000011101100
599,scene,2,0000000000000000000000000000000000011100111100011110010111011101100101
600,rescoring,3,0000000111001011001011110011110001111011111110010110100111011101100111
601,schnell,1,0000000000000000000001110011110001111010001101110110010111011001101100
602,percep,2,0000000000000000000000000000111000011001011110010110001111001011110000
604,associator,5,1100001111001111100111101111110001111010011100001111010011011111110010
605,grouping,3,0000000000000011001111110010110111111101011110000110100111011101100111
606,holloway,3,0000000000000011010001101111110110011011001101111111011111000011111001
607,cardin,2,0000000000000000000000000000110001111000011110010110010011010011101110
608,assembly,2,0000000000000011000011110011111001111001011101101110001011011001111001
609,permitted,3,0000000111000011001011110010110110111010011110100111010011001011100100
610,con,1,0000000000000000000000000000000000000000000000000110001111011111101110
612,hashem,2,0000000000000000000000000000110100011000011110011110100011001011101101
613,agr,1,0000000000000000000000000000000000000000000000000110000111001111110010
